run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,benchmark_id,refused,refusal_reasons,benchmark_warning_count,run_warning_count,retained_models,retained_items,selected_items_final,selected_items_preselect,joint_available,best_available_model_type,best_available_test_rmse,best_available_test_mae,best_available_test_pearson,best_available_test_spearman,marginal_test_rmse,marginal_test_mae,marginal_test_pearson,marginal_test_spearman,joint_test_rmse,joint_test_mae,joint_test_pearson,joint_test_spearman,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,requested_drop_low_tail_models_quantile,effective_drop_low_tail_models_quantile,requested_min_item_sd,effective_min_item_sd,requested_max_item_mean,effective_max_item_mean,requested_min_abs_point_biserial,effective_min_abs_point_biserial,requested_min_models_per_item,effective_min_models_per_item,requested_min_item_coverage,effective_min_item_coverage
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-19,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,19,True,gsm8k,False,,0,22,6062,350,250,350,False,marginal,1.3823962290917826,1.0595660350392024,0.9983779780953612,0.9969976544459556,1.3823962290917826,1.0595660350392024,0.9983779780953612,0.9969976544459556,,,,,182.9289288329892,51.02985108399298,17.552161708008498,1.0687672910280526,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,50,1213,0.8,0.8
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-19,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,19,True,hellaswag,False,,0,22,5216,347,0,0,False,marginal,,,,,,,,,,,,,182.9289288329892,51.02985108399298,17.552161708008498,1.0687672910280526,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,50,1044,0.8,0.8
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-19,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,19,True,mmlu,False,,0,22,5214,350,250,350,False,marginal,0.9313654832792281,0.5935388075629222,0.9977114229286775,0.9947811460887285,0.9313654832792281,0.5935388075629222,0.9977114229286775,0.9947811460887285,,,,,182.9289288329892,51.02985108399298,17.552161708008498,1.0687672910280526,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,50,1043,0.8,0.8
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-19,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,19,True,truthfulqa,False,,0,22,5217,350,250,350,False,marginal,0.9107046923868674,0.6932027218172735,0.9980211044545108,0.9975964463808795,0.9107046923868674,0.6932027218172735,0.9980211044545108,0.9975964463808795,,,,,182.9289288329892,51.02985108399298,17.552161708008498,1.0687672910280526,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,50,1044,0.8,0.8
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-19,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,19,True,winogrande,False,,0,22,6544,346,0,0,False,marginal,,,,,,,,,,,,,182.9289288329892,51.02985108399298,17.552161708008498,1.0687672910280526,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,50,1309,0.8,0.8
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-7,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,7,False,arc,False,,0,14,5221,350,250,350,True,joint,1.0022189749083565,0.6855601807527592,0.9976398789590653,0.9968025330896668,1.077254483660516,0.7491311975347092,0.9973004072809617,0.996326513265142,1.0022189749083565,0.6855601807527592,0.9976398789590653,0.9968025330896668,295.25395050190855,50.462853875011206,35.38807245902717,5.958468124968931,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,50,1045,0.7,0.7
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-7,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,7,False,gsm8k,False,,0,14,6068,350,250,350,True,joint,1.1964163745695275,0.9213154042249557,0.9988137437902029,0.9971383303129974,1.2184336287987139,0.9207079114128146,0.9987716798846991,0.9971399329210023,1.1964163745695275,0.9213154042249557,0.9988137437902029,0.9971383303129974,295.25395050190855,50.462853875011206,35.38807245902717,5.958468124968931,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,50,1214,0.7,0.7
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-7,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,7,False,hellaswag,False,,0,14,5221,350,250,350,True,joint,0.5378521843558944,0.23240482579603874,0.9995079034062073,0.999765981843941,0.5666504826562977,0.23513427144678656,0.9994544319697116,0.999766131944329,0.5378521843558944,0.23240482579603874,0.9995079034062073,0.999765981843941,295.25395050190855,50.462853875011206,35.38807245902717,5.958468124968931,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,50,1045,0.7,0.7
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-7,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,7,False,mmlu,False,,0,14,5219,350,250,350,True,joint,0.9293040225402464,0.5921978695137479,0.9978382829499195,0.9962407681996688,0.9529715512254678,0.6153127288433532,0.9977352249072149,0.9957187207766293,0.9293040225402464,0.5921978695137479,0.9978382829499195,0.9962407681996688,295.25395050190855,50.462853875011206,35.38807245902717,5.958468124968931,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,50,1044,0.7,0.7
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-7,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,7,False,truthfulqa,False,,0,14,5222,350,250,350,True,joint,0.9510672978592538,0.6908865332920576,0.9978933684758945,0.9976349989631558,0.9247499369900313,0.7090335040636881,0.9979897909096347,0.9974190075018418,0.9510672978592538,0.6908865332920576,0.9978933684758945,0.9976349989631558,295.25395050190855,50.462853875011206,35.38807245902717,5.958468124968931,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,50,1045,0.7,0.7
