run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,run_root,config_path,metrics_path,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,warning_count,drop_low_tail_models_quantile,min_item_sd,max_item_mean,min_abs_point_biserial,min_models_per_item,min_item_coverage
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-7,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-7,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,7,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-7/reports/metrics.json,192.26088862516917,55.609148667077534,18.245470582973212,1.066562916035764,22,0.001,0.01,0.95,0.05,50,0.8
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-11,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-11,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,11,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-11,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-11/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-11/reports/metrics.json,186.75417754298542,50.7998595420504,17.68928204209078,1.06322224996984,22,0.001,0.01,0.95,0.05,50,0.8
large_method_check::large_release_default_subset::baseline_current::random_cv::seed-19,large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19,large_method_check,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default,current full-size psychometric default profile,random_cv,19,True,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__baseline_current__random_cv__seed-19/reports/metrics.json,182.9289288329892,51.02985108399298,17.552161708008498,1.0687672910280526,22,0.001,0.01,0.95,0.05,50,0.8
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-7,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,7,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-7/reports/metrics.json,295.25395050190855,50.462853875011206,35.38807245902717,5.958468124968931,14,0.0,0.0,0.99,0.0,50,0.7
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-11,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-11,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,11,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-11,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-11/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-11/reports/metrics.json,296.1429001658689,50.74772874999326,35.197320958948694,5.959258707938716,14,0.0,0.0,0.99,0.0,50,0.7
large_method_check::large_release_default_subset::reconstruction_relaxed::random_cv::seed-19,large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-19,large_method_check,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed,"keep the spec item-count floor but relax low-tail, variance, ceiling, and discrimination filters",random_cv,19,False,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-19,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-19/config_resolved.json,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/preprocessing_optimization/large_method_check/workdir/large_method_check__large_release_default_subset__reconstruction_relaxed__random_cv__seed-19/reports/metrics.json,286.510399541934,51.01063062506728,34.954250833019614,5.921707666944712,14,0.0,0.0,0.99,0.0,50,0.7
