strategy_id,equal_weight_rmse_mean,equal_weight_mae_mean,equal_weight_pearson_mean,equal_weight_spearman_mean,equal_weight_seed_rmse_std_mean,informative_source_count
minimal_cleaning__deterministic_info,5.975946164575324,4.901008160218361,0.940739787913189,0.9612147428814274,0.0,3
reconstruction_first__deterministic_info,5.975946164575324,4.901008160218361,0.940739787913189,0.9612147428814274,0.0,3
reconstruction_first_relaxed__deterministic_info,5.975946164575324,4.901008160218361,0.940739787913189,0.9612147428814274,0.0,3
reconstruction_first__random_cv,7.490899663208353,5.7880078994709665,0.9061195504671852,0.9532203260219126,0.0,3
psychometric_default__deterministic_info,7.74246269304608,6.418396843105348,0.967071918805065,0.9585024362774789,0.0,3
psychometric_default__random_cv,9.686506674281656,8.00140247996069,0.9113304349230723,0.8897568249415772,0.0,3
