benchmark_id,model_type,method,seed,split,row_count,rmse,mae,pearson_r,spearman_r,runtime_seconds,skipped,skip_reason,hyperparameters
arc,marginal,elastic_net,19,val,476,1.0310934048446714,0.7674085820876176,0.9981614279388202,0.9968396036181981,0.08834520902018994,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,gam,7,test,464,1.077254483660516,0.7491311975347092,0.9973004072809617,0.996326513265142,0.168473833007738,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,7,train,4281,1.0302706463171405,0.7397944709961284,0.9981173359851004,0.9971238241703209,0.168473833007738,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,7,val,476,0.9936838357858988,0.7248355565242001,0.9982947693802388,0.9969885409433547,0.168473833007738,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,11,test,464,1.077254483660516,0.7491311975347092,0.9973004072809617,0.996326513265142,0.16449400002602488,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,11,train,4281,1.0302706463171405,0.7397944709961284,0.9981173359851004,0.9971238241703209,0.16449400002602488,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,11,val,476,0.9936838357858988,0.7248355565242001,0.9982947693802388,0.9969885409433547,0.16449400002602488,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,19,test,464,1.077254483660516,0.7491311975347092,0.9973004072809617,0.996326513265142,0.16377583297435194,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,19,train,4281,1.0302706463171405,0.7397944709961284,0.9981173359851004,0.9971238241703209,0.16377583297435194,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,19,val,476,0.9936838357858988,0.7248355565242001,0.9982947693802388,0.9969885409433547,0.16377583297435194,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
gsm8k,joint,elastic_net,7,test,464,,,,,1.003824207931757,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,7,train,3751,,,,,1.003824207931757,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,7,val,419,,,,,1.003824207931757,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,11,test,464,,,,,1.0158807910047472,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,11,train,3751,,,,,1.0158807910047472,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,11,val,419,,,,,1.0158807910047472,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,19,test,464,,,,,1.0204179999418557,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,19,train,3751,,,,,1.0204179999418557,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,elastic_net,19,val,419,,,,,1.0204179999418557,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,joint,gam,7,test,464,,,,,0.46538770804181695,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
gsm8k,joint,gam,7,train,3751,,,,,0.46538770804181695,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
gsm8k,joint,gam,7,val,419,,,,,0.46538770804181695,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
gsm8k,joint,gam,11,test,464,,,,,0.46274333307519555,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
gsm8k,joint,gam,11,train,3751,,,,,0.46274333307519555,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
gsm8k,joint,gam,11,val,419,,,,,0.46274333307519555,False,,"{""best_lam"": 1.0, ""cv_folds"": 5}"
gsm8k,joint,gam,19,test,464,,,,,0.46439270791597664,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
gsm8k,joint,gam,19,train,3751,,,,,0.46439270791597664,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
gsm8k,joint,gam,19,val,419,,,,,0.46439270791597664,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
gsm8k,marginal,elastic_net,7,test,464,,,,,0.2829376250738278,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,marginal,elastic_net,7,train,5043,,,,,0.2829376250738278,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,marginal,elastic_net,7,val,561,,,,,0.2829376250738278,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,marginal,elastic_net,11,test,464,,,,,0.28370512498077005,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
gsm8k,marginal,elastic_net,11,train,5043,,,,,0.28370512498077005,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
