left_out_dataset_id,rank,strategy_id,equal_weight_rmse_mean,equal_weight_mae_mean,equal_weight_pearson_mean,equal_weight_spearman_mean,equal_weight_seed_rmse_std_mean,informative_source_count
helm_objective__capabilities_v1_0_0,1,psychometric_default__random_cv,4.724999740008423,3.556631932059375,0.9712342857029486,0.960757647795065,0.0,2
helm_objective__capabilities_v1_0_0,2,reconstruction_first__random_cv,5.271710895296225,3.8821116285177344,0.960008627138389,0.9300035626587455,0.0,2
helm_objective__capabilities_v1_0_0,3,minimal_cleaning__deterministic_info,5.475801952173116,4.419073377998853,0.9731657295885578,0.9406105989410052,0.0,2
helm_objective__capabilities_v1_0_0,4,reconstruction_first__deterministic_info,5.475801952173116,4.419073377998853,0.9731657295885578,0.9406105989410052,0.0,2
helm_objective__capabilities_v1_0_0,5,reconstruction_first_relaxed__deterministic_info,5.475801952173116,4.419073377998853,0.9731657295885578,0.9406105989410052,0.0,2
helm_objective__capabilities_v1_0_0,6,psychometric_default__deterministic_info,5.6772780345903255,4.2861240175056325,0.9740513257659811,0.9365430266546018,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,1,reconstruction_first__random_cv,7.933980835154216,6.9326477929636,0.8794907909429666,0.8435854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,2,minimal_cleaning__deterministic_info,8.095058742148836,6.3130506625700535,0.8912723279835943,0.9685854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,3,reconstruction_first__deterministic_info,8.095058742148836,6.3130506625700535,0.8912723279835943,0.9685854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,4,reconstruction_first_relaxed__deterministic_info,8.095058742148836,6.3130506625700535,0.8912723279835943,0.9685854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,5,psychometric_default__random_cv,8.644482118275912,6.955823688339658,0.8133299197899407,0.8621708245126285,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,6,psychometric_default__deterministic_info,8.759112827525218,7.144031224312154,0.8810398846001243,0.8371708245126285,0.0,2
openeval__hf_94f8112_20260314,1,minimal_cleaning__deterministic_info,7.245996823018333,5.496532276011561,0.881822360911042,0.972025186684691,0.0,2
openeval__hf_94f8112_20260314,2,reconstruction_first__deterministic_info,7.245996823018333,5.496532276011561,0.881822360911042,0.972025186684691,0.0,2
openeval__hf_94f8112_20260314,3,reconstruction_first_relaxed__deterministic_info,7.245996823018333,5.496532276011561,0.881822360911042,0.972025186684691,0.0,2
openeval__hf_94f8112_20260314,4,psychometric_default__deterministic_info,7.400348596800077,5.961662111908355,0.874833560121378,0.8493722021419734,0.0,2
openeval__hf_94f8112_20260314,5,reconstruction_first__random_cv,8.293093522392214,7.119192003628761,0.8626880812563857,0.8364181504024313,0.0,2
openeval__hf_94f8112_20260314,6,psychometric_default__random_cv,8.846411947823817,6.95050683914234,0.8028852480190387,0.8485868232824365,0.0,2
