benchmark_id,published_primary_target_rmse,public_release_default_subset_rmse,benchiq_marginal_rmse,benchiq_joint_rmse,absolute_delta,kept_item_count,within_strong_band
arc,1.166,1.375054572446307,1.047835854064012,0.8658001239026175,0.3001998760973824,350,False
gsm8k,1.555,1.348073294893001,1.189878270075692,1.2066716790148004,0.3483283209851995,350,False
hellaswag,0.999,1.646384376872494,0.9795083939120809,0.8095642052958419,0.18943579470415806,350,False
mmlu,1.43,1.329090824876857,1.0825958000688636,1.0243175273128686,0.4056824726871313,350,False
truthfulqa,1.104,1.0862103026169,1.0092155855949065,0.9686150029875533,0.13538499701244677,350,False
winogrande,1.195,1.280301429647948,0.9538163108526334,0.9148739035387661,0.280126096461234,350,False
