model_type,method,rmse_mean,rmse_std,mae_mean,pearson_mean,spearman_mean,runtime_mean_seconds,runs,seed_rmse_std
joint,gam,1.0023069521231638,0.00015238100595454826,0.6858317338128158,0.9976402283512641,0.9967939637398052,0.4750098147843447,3,0.00015238100595454826
joint,xgboost,1.0101296290550834,0.004974193616755397,0.7083657347705757,0.9976059501631512,0.9966180593370918,0.3309060530607692,3,0.004974193616755397
joint,elastic_net,1.0432928600837401,0.0,0.7309143506145976,0.997449130425601,0.9966053379336236,0.6506721666794166,3,0.0
marginal,gam,1.077254483660516,0.0,0.7491311975347092,0.9973004072809616,0.9963265132651419,0.17846318295535943,3,0.0
marginal,elastic_net,1.105579102140459,0.0,0.7770370964929677,0.9971364784048847,0.9961711237037759,0.15694034717873567,3,0.0
marginal,xgboost,1.1095358034855534,0.0,0.784217156506524,0.9971347941945078,0.9961117370322254,0.19219758793608183,3,0.0
