benchmark_id,model_type,method,seed,split,row_count,rmse,mae,pearson_r,spearman_r,runtime_seconds,skipped,skip_reason,hyperparameters
arc,marginal,elastic_net,7,val,476,1.0310934048446714,0.7674085820876176,0.9981614279388202,0.9968396036181981,0.08797204098664224,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,elastic_net,11,test,464,1.105579102140459,0.7770370964929676,0.9971364784048847,0.9961711237037758,0.08616779209114611,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,elastic_net,11,train,4281,1.0546280418838887,0.76758695344728,0.9980271878522013,0.9970408680674921,0.08616779209114611,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,elastic_net,11,val,476,1.0310934048446714,0.7674085820876176,0.9981614279388202,0.9968396036181981,0.08616779209114611,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,elastic_net,19,test,464,1.105579102140459,0.7770370964929676,0.9971364784048847,0.9961711237037758,0.08632270898669958,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,elastic_net,19,train,4281,1.0546280418838887,0.76758695344728,0.9980271878522013,0.9970408680674921,0.08632270898669958,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,elastic_net,19,val,476,1.0310934048446714,0.7674085820876176,0.9981614279388202,0.9968396036181981,0.08632270898669958,False,,"{""alpha"": 0.001, ""cv_folds"": 5, ""l1_ratio"": 0.9}"
arc,marginal,gam,7,test,464,1.077254483660516,0.7491311975347092,0.9973004072809617,0.996326513265142,0.17101145803462714,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,7,train,4281,1.0302706463171405,0.7397944709961284,0.9981173359851004,0.9971238241703209,0.17101145803462714,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,7,val,476,0.9936838357858988,0.7248355565242001,0.9982947693802388,0.9969885409433547,0.17101145803462714,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,11,test,464,1.077254483660516,0.7491311975347092,0.9973004072809617,0.996326513265142,0.16572950000409037,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
arc,marginal,gam,11,train,4281,1.0302706463171405,0.7397944709961284,0.9981173359851004,0.9971238241703209,0.16572950000409037,False,,"{""best_lam"": 0.1, ""cv_folds"": 5}"
