benchmark_id,model_type,method,seed,split,row_count,rmse,mae,pearson_r,spearman_r,runtime_seconds,skipped,skip_reason,hyperparameters
b1,joint,elastic_net,7,test,6,13.671647377078473,13.248183439151063,0.918850465982243,0.8676470588235294,0.021066167042590678,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.1}"
b1,joint,elastic_net,7,train,48,11.324868660302506,9.46832659715857,0.9035087502353156,0.8754635901054393,0.021066167042590678,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.1}"
b1,joint,elastic_net,7,val,6,10.944542635631825,9.990377507030638,0.9700749775573405,0.942857142857143,0.021066167042590678,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.1}"
b1,joint,elastic_net,11,test,6,13.636440915352015,13.119951285112995,0.9176480560583755,0.8676470588235294,0.021098083001561463,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,11,train,48,11.473722695947204,9.549019228120939,0.9027134061160464,0.8749664814422878,0.021098083001561463,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,11,val,6,10.871302579629786,10.013118572946308,0.9721283815032451,0.942857142857143,0.021098083001561463,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,19,test,6,13.671647377078473,13.248183439151063,0.918850465982243,0.8676470588235294,0.021403459017165005,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.1}"
b1,joint,elastic_net,19,train,48,11.324868660302506,9.46832659715857,0.9035087502353156,0.8754635901054393,0.021403459017165005,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.1}"
b1,joint,elastic_net,19,val,6,10.944542635631825,9.990377507030638,0.9700749775573405,0.942857142857143,0.021403459017165005,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.1}"
b1,joint,gam,7,test,6,13.166187458896388,12.77725970366018,0.9245930805012301,0.8676470588235294,0.0509715829975903,False,,"{""best_lam"": 1.0, ""cv_folds"": 3}"
b1,joint,gam,7,train,48,10.566797202249296,8.628306891511093,0.9163572203042003,0.8891064611941486,0.0509715829975903,False,,"{""best_lam"": 1.0, ""cv_folds"": 3}"
b1,joint,gam,7,val,6,8.597759328191104,6.995565424576786,0.9711048868723903,0.942857142857143,0.0509715829975903,False,,"{""best_lam"": 1.0, ""cv_folds"": 3}"
