left_out_dataset_id,rank,strategy_id,equal_weight_rmse_mean,equal_weight_mae_mean,equal_weight_pearson_mean,equal_weight_spearman_mean,equal_weight_seed_rmse_std_mean,informative_source_count
helm_objective__capabilities_v1_0_0,1,psychometric_default__random_cv,4.841400737458206,3.671325286993426,0.969529953385164,0.9596352374123658,0.0,2
helm_objective__capabilities_v1_0_0,2,reconstruction_first__random_cv,4.907928167189862,3.5974867123896592,0.9644119096031432,0.929830489032869,0.0,2
helm_objective__capabilities_v1_0_0,3,minimal_cleaning__deterministic_info,5.258300170005491,4.244594941751214,0.9711103959934351,0.941822114322141,0.0,2
helm_objective__capabilities_v1_0_0,4,reconstruction_first__deterministic_info,5.258300170005491,4.244594941751214,0.9711103959934351,0.941822114322141,0.0,2
helm_objective__capabilities_v1_0_0,5,reconstruction_first_relaxed__deterministic_info,5.258300170005491,4.244594941751214,0.9711103959934351,0.941822114322141,0.0,2
helm_objective__capabilities_v1_0_0,6,psychometric_default__deterministic_info,5.834253222159019,4.4057675811198855,0.9722315163433854,0.9377536544162185,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,1,minimal_cleaning__deterministic_info,6.220959884504841,5.464799511429943,0.925464645804382,0.9685854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,2,reconstruction_first__deterministic_info,6.220959884504841,5.464799511429943,0.925464645804382,0.9685854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,3,reconstruction_first_relaxed__deterministic_info,6.220959884504841,5.464799511429943,0.925464645804382,0.9685854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,4,psychometric_default__deterministic_info,6.478707849846149,5.0932846977248625,0.9388846938218154,0.9621708245126285,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,5,psychometric_default__random_cv,7.6811521101782,6.891163708226632,0.9636736245734794,0.9871708245126285,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,6,reconstruction_first__random_cv,8.77132068108424,8.0554543468887,0.5700416858241841,0.5935854122563142,0.0,2
openeval__hf_94f8112_20260314,1,psychometric_default__deterministic_info,5.276918806689702,4.030559148935317,0.9308585599204736,0.97558282990359,0.0,2
openeval__hf_94f8112_20260314,2,minimal_cleaning__deterministic_info,5.536131589141911,4.769424945288241,0.9191018261367755,0.9732367020658268,0.0,2
openeval__hf_94f8112_20260314,3,reconstruction_first__deterministic_info,5.536131589141911,4.769424945288241,0.9191018261367755,0.9732367020658268,0.0,2
openeval__hf_94f8112_20260314,4,reconstruction_first_relaxed__deterministic_info,5.536131589141911,4.769424945288241,0.9191018261367755,0.9732367020658268,0.0,2
openeval__hf_94f8112_20260314,5,psychometric_default__random_cv,7.9994829371758875,7.000540213963365,0.9515246204847928,0.9724644128997373,0.0,2
openeval__hf_94f8112_20260314,6,reconstruction_first__random_cv,9.709848155223273,8.65186998204167,0.545648907872597,0.5862450767765548,0.0,2
