left_out_dataset_id,rank,strategy_id,equal_weight_rmse_mean,equal_weight_mae_mean,equal_weight_pearson_mean,equal_weight_spearman_mean,equal_weight_seed_rmse_std_mean,informative_source_count
helm_objective__capabilities_v1_0_0,1,psychometric_default__deterministic_info,3.953676763267606,3.014030130505417,0.9794083666562333,0.9691682421599043,0.0,2
helm_objective__capabilities_v1_0_0,2,minimal_cleaning__deterministic_info,4.199500248590332,3.2772681474925816,0.9719319391262691,0.9482367020658268,0.0,2
helm_objective__capabilities_v1_0_0,3,reconstruction_first__deterministic_info,4.199500248590332,3.2772681474925816,0.9719319391262691,0.9482367020658268,0.0,2
helm_objective__capabilities_v1_0_0,4,reconstruction_first_relaxed__deterministic_info,4.199500248590332,3.2772681474925816,0.9719319391262691,0.9482367020658268,0.0,2
helm_objective__capabilities_v1_0_0,5,psychometric_default__random_cv,4.327757446826799,3.2637381423735325,0.9761625850720101,0.9660498251560516,0.0,2
helm_objective__capabilities_v1_0_0,6,reconstruction_first__random_cv,6.011208271224887,4.357451770039358,0.9348392184681296,0.8612450767765547,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,1,psychometric_default__deterministic_info,4.598131390954737,3.7015472471103945,0.9460615441346633,0.9935854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,2,minimal_cleaning__deterministic_info,5.162159963089682,4.497472717171311,0.9262861889372163,0.975,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,3,reconstruction_first__deterministic_info,5.162159963089682,4.497472717171311,0.9262861889372163,0.975,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,4,reconstruction_first_relaxed__deterministic_info,5.162159963089682,4.497472717171311,0.9262861889372163,0.975,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,5,psychometric_default__random_cv,7.167508819546793,6.483576563606738,0.9703062562603255,0.9935854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,6,reconstruction_first__random_cv,9.874600785119267,8.8154194045384,0.5404689946891705,0.525,0.0,2
openeval__hf_94f8112_20260314,1,psychometric_default__deterministic_info,5.276918806689702,4.030559148935317,0.9308585599204736,0.97558282990359,0.0,2
openeval__hf_94f8112_20260314,2,minimal_cleaning__deterministic_info,5.536131589141911,4.769424945288241,0.9191018261367755,0.9732367020658268,0.0,2
openeval__hf_94f8112_20260314,3,reconstruction_first__deterministic_info,5.536131589141911,4.769424945288241,0.9191018261367755,0.9732367020658268,0.0,2
openeval__hf_94f8112_20260314,4,reconstruction_first_relaxed__deterministic_info,5.536131589141911,4.769424945288241,0.9191018261367755,0.9732367020658268,0.0,2
openeval__hf_94f8112_20260314,5,psychometric_default__random_cv,7.9994829371758875,7.000540213963365,0.9515246204847928,0.9724644128997373,0.0,2
openeval__hf_94f8112_20260314,6,reconstruction_first__random_cv,9.709848155223273,8.65186998204167,0.545648907872597,0.5862450767765548,0.0,2
