left_out_dataset_id,rank,strategy_id,equal_weight_rmse_mean,equal_weight_mae_mean,equal_weight_pearson_mean,equal_weight_spearman_mean,equal_weight_seed_rmse_std_mean,informative_source_count
helm_objective__capabilities_v1_0_0,1,reconstruction_first__random_cv,7.060657711512497,5.314838590207589,0.8589647640443244,0.8614181504024312,0.0,2
helm_objective__capabilities_v1_0_0,2,psychometric_default__random_cv,7.219158905142458,4.83434073069329,0.9496848166506342,0.9588614690826098,0.0,2
helm_objective__capabilities_v1_0_0,3,minimal_cleaning__deterministic_info,10.582400644258993,7.841503723112519,0.737405114208912,0.6386918533513577,0.0,2
helm_objective__capabilities_v1_0_0,4,reconstruction_first__deterministic_info,10.582400644258993,7.841503723112519,0.737405114208912,0.6386918533513577,0.0,2
helm_objective__capabilities_v1_0_0,5,reconstruction_first_relaxed__deterministic_info,10.582400644258993,7.841503723112519,0.737405114208912,0.6386918533513577,0.0,2
helm_objective__capabilities_v1_0_0,6,psychometric_default__deterministic_info,11.441281486728853,8.331851626792265,0.7238430126975123,0.667388167321278,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,1,reconstruction_first__random_cv,9.722927651370487,8.365374754653455,0.7784469278489019,0.7749999999999999,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,2,psychometric_default__random_cv,10.063452359034383,7.519323177337212,0.8085729043946662,0.8664472163417523,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,3,minimal_cleaning__deterministic_info,13.201657434234715,9.73548100768372,0.6555117126039485,0.6666666666666666,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,4,reconstruction_first__deterministic_info,13.201657434234715,9.73548100768372,0.6555117126039485,0.6666666666666666,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,5,reconstruction_first_relaxed__deterministic_info,13.201657434234715,9.73548100768372,0.6555117126039485,0.6666666666666666,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,6,psychometric_default__deterministic_info,13.908546648915845,10.697793037412605,0.6392896370239595,0.5664472163417523,0.0,2
openeval__hf_94f8112_20260314,1,minimal_cleaning__deterministic_info,7.245996823018333,5.496532276011561,0.881822360911042,0.972025186684691,0.0,2
openeval__hf_94f8112_20260314,2,reconstruction_first__deterministic_info,7.245996823018333,5.496532276011561,0.881822360911042,0.972025186684691,0.0,2
openeval__hf_94f8112_20260314,3,reconstruction_first_relaxed__deterministic_info,7.245996823018333,5.496532276011561,0.881822360911042,0.972025186684691,0.0,2
openeval__hf_94f8112_20260314,4,psychometric_default__deterministic_info,8.014918227547978,6.453627908094536,0.866375494629074,0.8509409509795256,0.0,2
openeval__hf_94f8112_20260314,5,reconstruction_first__random_cv,8.293093522392214,7.119192003628761,0.8626880812563857,0.8364181504024313,0.0,2
openeval__hf_94f8112_20260314,6,psychometric_default__random_cv,9.921600872199383,7.664716148778702,0.7860927943619989,0.8424142527408576,0.0,2
