left_out_dataset_id,rank,strategy_id,equal_weight_rmse_mean,equal_weight_mae_mean,equal_weight_pearson_mean,equal_weight_spearman_mean,equal_weight_seed_rmse_std_mean,informative_source_count
helm_objective__capabilities_v1_0_0,1,psychometric_default__deterministic_info,2.5123725823640304,1.9486747642065312,0.9944780941258384,0.9865858322654715,0.0,2
helm_objective__capabilities_v1_0_0,2,psychometric_default__random_cv,2.5302578625786656,1.9718999587249084,0.9954450353105507,0.9885298157302784,0.0,2
helm_objective__capabilities_v1_0_0,3,minimal_cleaning__deterministic_info,3.0386217639415225,2.3315702323633767,0.9846215056096363,0.9603720881765447,0.0,2
helm_objective__capabilities_v1_0_0,4,reconstruction_first__deterministic_info,3.0386217639415225,2.3315702323633767,0.9846215056096363,0.9603720881765447,0.0,2
helm_objective__capabilities_v1_0_0,5,reconstruction_first_relaxed__deterministic_info,3.0386217639415225,2.3315702323633767,0.9846215056096363,0.9603720881765447,0.0,2
helm_objective__capabilities_v1_0_0,6,reconstruction_first__random_cv,4.364790195896429,3.2358818833294265,0.9593927966848022,0.8878253542046797,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,1,psychometric_default__deterministic_info,3.526677014791428,3.0015115000233634,0.9884472185330857,0.9935854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,2,minimal_cleaning__deterministic_info,3.874999699060786,3.2051877726819096,0.9857116556876353,0.975,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,3,reconstruction_first__deterministic_info,3.874999699060786,3.2051877726819096,0.9857116556876353,0.975,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,4,reconstruction_first_relaxed__deterministic_info,3.874999699060786,3.2051877726819096,0.9857116556876353,0.975,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,5,psychometric_default__random_cv,5.359603509557806,4.634112432266109,0.9851996342482576,0.8685854122563142,0.0,2
ollb_v1_metabench_source__release_default_subset_20260405,6,reconstruction_first__random_cv,5.785880835578013,4.6344345816999954,0.8884703156031664,0.9,0.0,2
openeval__hf_94f8112_20260314,1,psychometric_default__deterministic_info,2.7641602496228166,2.265168035549399,0.9883139617885012,0.9930004200091573,0.0,2
openeval__hf_94f8112_20260314,2,minimal_cleaning__deterministic_info,3.088092840464206,2.531442085669635,0.9912168593705619,0.9853720881765449,0.0,2
openeval__hf_94f8112_20260314,3,reconstruction_first__deterministic_info,3.088092840464206,2.531442085669635,0.9912168593705619,0.9853720881765449,0.0,2
openeval__hf_94f8112_20260314,4,reconstruction_first_relaxed__deterministic_info,3.088092840464206,2.531442085669635,0.9912168593705619,0.9853720881765449,0.0,2
openeval__hf_94f8112_20260314,5,reconstruction_first__random_cv,3.9747101303535626,3.3493152724933366,0.9182038070032652,0.9878253542046798,0.0,2
openeval__hf_94f8112_20260314,6,psychometric_default__random_cv,4.394078042938767,3.859237898974112,0.9857004487112655,0.8699444034739643,0.0,2
