benchmark_id,model_type,method,seed,split,row_count,rmse,mae,pearson_r,spearman_r,runtime_seconds,skipped,skip_reason,hyperparameters
b1,joint,elastic_net,7,test,6,17.66187694693421,13.939155970716357,0.8000263376427481,0.898645105261295,0.020288625033572316,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,7,train,48,12.911222505668858,10.030879043318857,0.872203510652614,0.8487893575121951,0.020288625033572316,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,7,val,6,9.940446512829253,8.09175960751906,0.9709325957816799,0.9856107606091623,0.020288625033572316,False,,"{""alpha"": 0.1, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,11,test,6,16.322598223040735,13.601905999640175,0.8374530151282047,0.898645105261295,0.019428750034421682,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,11,train,48,13.268560827820771,10.292683752030287,0.8662684725659827,0.842550086255153,0.019428750034421682,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,11,val,6,11.20431475124349,9.80437956087743,0.971161571837764,0.9856107606091623,0.019428750034421682,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,19,test,6,16.322598223040735,13.601905999640175,0.8374530151282047,0.898645105261295,0.01992679201066494,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,19,train,48,13.268560827820771,10.292683752030287,0.8662684725659827,0.842550086255153,0.01992679201066494,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,elastic_net,19,val,6,11.20431475124349,9.80437956087743,0.971161571837764,0.9856107606091623,0.01992679201066494,False,,"{""alpha"": 1.0, ""cv_folds"": 3, ""l1_ratio"": 0.9}"
b1,joint,gam,7,test,6,18.434243650378143,14.543378285870938,0.7864999119470257,0.898645105261295,0.05411599995568395,False,,"{""best_lam"": 1.0, ""cv_folds"": 3}"
