model_type,method,rmse_mean,rmse_std,mae_mean,pearson_mean,spearman_mean,runtime_mean_seconds,runs,seed_rmse_std
joint,elastic_net,16.76902446433856,0.7732329317598353,13.714322656665567,0.8249774559663857,0.898645105261295,0.024171051000141434,3,0.7732329317598353
joint,gam,18.434243650378143,0.0,14.543378285870938,0.7864999119470258,0.898645105261295,0.0576664214539859,3,0.0
marginal,elastic_net,18.173475563807077,0.2987747757818445,15.61921090700413,0.7564945888260614,0.7700513795421217,0.019114666890042525,3,0.2987747757818445
marginal,gam,18.30675127166344,0.0,15.61361555149309,0.7519746610707013,0.7700513795421217,0.034358222451474935,3,0.0
